date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:26:07	391915/391915	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2003%20Jan%202024%2004:05:29%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/fonts/Poppins-Regular.svg	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/fonts/Poppins-Regular.svg	(from https://www.obrasoft.com/test/ssmpoly/convertion/css/fonts.css)
21:26:07	84792/84792	---M--	200	added ('OK')	font/woff2	date:Wed,%2003%20Jan%202024%2004:05:24%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/fonts/montserrat-bold.woff2	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/fonts/montserrat-bold.woff2	(from https://www.obrasoft.com/test/ssmpoly/convertion/css/fonts.css)
21:26:07	1258/1258	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Jan%202024%2004:05:27%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/images/call.png	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/images/call.png	(from https://www.obrasoft.com/test/ssmpoly/convertion/css/main.css)
21:26:08	141632/141632	---M--	200	added ('OK')	font/woff	date:Wed,%2003%20Jan%202024%2004:05:24%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/fonts/montserrat-bold.woff	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/fonts/montserrat-bold.woff	(from https://www.obrasoft.com/test/ssmpoly/convertion/css/fonts.css)
21:26:08	581/581	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Feb%202024%2015:47:06%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/images/line.png	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/images/line.png	(from https://www.obrasoft.com/test/ssmpoly/convertion/css/main.css)
21:26:08	581/581	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Feb%202024%2015:47:07%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/images/rightarow.png	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/images/rightarow.png	(from https://www.obrasoft.com/test/ssmpoly/convertion/css/main.css)
21:26:08	83653/83653	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Jan%202024%2004:05:28%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/images/captionbg.png	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/images/captionbg.png	(from https://www.obrasoft.com/test/ssmpoly/convertion/css/main.css)
21:26:08	1335/1335	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Jan%202024%2004:05:32%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/images/news.png	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/images/news.png	(from https://www.obrasoft.com/test/ssmpoly/convertion/css/main.css)
21:26:09	2557/2557	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Jan%202024%2004:05:32%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/images/stud.jpg	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/images/stud.jpg	(from https://www.obrasoft.com/test/ssmpoly/convertion/css/main.css)
21:26:09	3182/3182	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Jan%202024%2004:05:29%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/images/FACULTIES.jpg	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/images/FACULTIES.jpg	(from https://www.obrasoft.com/test/ssmpoly/convertion/css/main.css)
21:26:09	2511/2511	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Jan%202024%2004:05:32%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/images/PROGRAMMES.jpg	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/images/PROGRAMMES.jpg	(from https://www.obrasoft.com/test/ssmpoly/convertion/css/main.css)
21:26:09	2302/2302	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Jan%202024%2004:05:27%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/images/ALUMNIES.jpg	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/images/ALUMNIES.jpg	(from https://www.obrasoft.com/test/ssmpoly/convertion/css/main.css)
21:26:09	1985/1985	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Jan%202024%2004:05:27%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/images/arow.jpg	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/images/arow.jpg	(from https://www.obrasoft.com/test/ssmpoly/convertion/css/main.css)
21:26:10	18877/18877	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Jan%202024%2004:05:30%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/images/hodbg.jpg	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/images/hodbg.jpg	(from https://www.obrasoft.com/test/ssmpoly/convertion/css/main.css)
21:26:10	30548/30548	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Jan%202024%2004:05:31%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/images/Infrastructure.jpg	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/images/Infrastructure.jpg	(from https://www.obrasoft.com/test/ssmpoly/convertion/css/main.css)
21:26:10	28820/28820	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Jan%202024%2004:05:32%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/images/Laboratories.jpg	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/images/Laboratories.jpg	(from https://www.obrasoft.com/test/ssmpoly/convertion/css/main.css)
21:26:11	30207/30207	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Jan%202024%2004:05:29%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/images/DepartmentLibrary.jpg	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/images/DepartmentLibrary.jpg	(from https://www.obrasoft.com/test/ssmpoly/convertion/css/main.css)
21:26:11	45720/45720	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Jan%202024%2004:05:32%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/images/pagetitlebg.jpg	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/images/pagetitlebg.jpg	(from https://www.obrasoft.com/test/ssmpoly/convertion/css/main.css)
21:26:11	1478/1478	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Jan%202024%2004:05:28%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/images/cntcall.png	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/images/cntcall.png	(from https://www.obrasoft.com/test/ssmpoly/convertion/css/main.css)
21:26:11	1276/1276	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Jan%202024%2004:05:28%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/images/cntmail.png	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/images/cntmail.png	(from https://www.obrasoft.com/test/ssmpoly/convertion/css/main.css)
21:26:11	1575/1575	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Jan%202024%2004:05:28%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/images/cntaddress.png	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/images/cntaddress.png	(from https://www.obrasoft.com/test/ssmpoly/convertion/css/main.css)
21:26:11	2026/2026	---M--	200	added ('OK')	image/png	date:Wed,%2003%20Jan%202024%2004:05:33%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/images/zoom.png	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/images/zoom.png	(from https://www.obrasoft.com/test/ssmpoly/convertion/css/main.css)
21:26:12	78467/78467	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Jan%202024%2004:05:29%20GMT	https://www.obrasoft.com/test/ssmpoly/convertion/images/footer.jpg	C:/Users/91894/Desktop/Internship/ssm/www.obrasoft.com/test/ssmpoly/convertion/images/footer.jpg	(from https://www.obrasoft.com/test/ssmpoly/convertion/css/main.css)
